访谈记录id,调研人id,县id,访谈对象id,受访人姓名,受访人信息,访谈内容,访谈时间,访谈地点,访谈质量
ITV2023001,DY20210002,410526,OBJ41052601,张建国,52岁，滑县脱贫户，家庭人口4人，主要收入来源为蔬菜种植,"家庭基本情况： 张建国家庭原是滑县典型的贫困户，通过政府扶持的蔬菜大棚项目实现脱贫。家中4口人，夫妻二人和两个正在上学的孩子。产业发展： 目前种植3个蔬菜大棚，主要种植番茄和黄瓜，年收入约5万元。2019年获得政府补贴建设第一个大棚，2021年自筹资金扩建两个。面临困难： ""最大的问题是市场价格波动太大，去年番茄收购价从每斤2.5元跌到0.8元，损失惨重。还有就是技术跟不上，病虫害防治知识缺乏。""政策评价： ""产业补贴政策很好，但技术培训不够实用。希望政府能提供更专业的种植技术指导，建立稳定的销售渠道。""未来期望： 计划联合周边农户成立合作社，统一品种、统一销售，提高议价能力。",2023-06-15,滑县王庄镇张庄村村委会,5.0
ITV2023002,DY20210005,130623,OBJ13062301,李秀英,48岁，涞水县合作社负责人，从事食用菌种植,"合作社运营： 李秀英2018年成立""秀英食用菌合作社""，现有社员32户，其中脱贫户15户。合作社年产香菇、平菇等食用菌50吨。发展历程： ""起步时只有5个棚，现在发展到20个。政府给了很大支持，每个棚补贴1万元，还帮我们联系了技术专家。""市场销售： 产品主要销往保定市区和北京新发地市场，但运输成本高，利润空间被压缩。政策建议： ""希望政府能帮助建立冷链物流，降低运输损耗。另外，贷款门槛还是太高，合作社想扩大规模资金不足。""社会效益： 合作社带动周边50多名妇女就业，人均年增收1.2万元。",2023-07-20,涞水县食用菌合作社办公室,4.0
ITV2023003,DY20210012,230221,OBJ23022101,王大力,45岁，龙江县种粮大户，流转土地500亩,"种植规模： 王大力是龙江县有名的种粮大户，2015年开始流转土地，目前种植玉米300亩、大豆200亩。机械化程度： ""现在从播种到收获都实现了机械化，政府给的农机补贴很实在。但大型农机还是买不起，只能租用。""成本压力： ""化肥、农药价格年年涨，种地成本越来越高。去年干旱，灌溉费用就花了3万多。""政策感受： ""粮食直补很及时，但金额有限。希望增加种植保险补贴，降低自然灾害风险。""发展计划： 计划发展粮食深加工，提高附加值，但缺乏技术和资金支持。",2023-08-10,龙江县农田地头,5.0
ITV2023004,DY20210016,522323,OBJ52232301,杨小花,36岁，普安县苗族刺绣传承人，带动妇女就业,"手艺传承： 杨小花是苗族刺绣第六代传承人，2019年成立""小花苗绣工坊""，现有绣娘28人。产品特色： ""我们的刺绣融合传统图案和现代设计，很受游客欢迎。但缺乏品牌知名度，卖不上价。""销售渠道： 主要通过旅游景点销售，受疫情影响很大。""想开网店，但不懂电商运营。""政策支持： ""文化局给了非遗传承人补贴，但金额有限。希望有专门的手工艺扶持基金。""社会影响： 工坊让留守妇女在家门口就业，既能照顾家庭又有收入。",2023-09-05,普安县苗族文化传承中心,4.0
ITV2023005,DY20210020,410324,OBJ41032401,赵志刚,55岁，栾川县乡村旅游民宿经营者,"转型经历： 赵志刚原是矿山工人，矿山关停后利用自家房屋开办民宿。""2018年政府鼓励发展乡村旅游，我就把房子改造成了民宿。""经营状况： 现有客房8间，旺季时一房难求，但淡季客源很少。""一年只有5个月有生意，其他时间都在亏本。""基础设施： ""村里道路需要拓宽，旅游大巴进不来。网络信号也不稳定，客人经常抱怨。""政策评价： ""民宿改造补贴很及时，但后续运营缺乏指导。希望政府能统一宣传推广，组织专业培训。""发展建议： 建议开发四季旅游产品，避免季节性经营困难。",2023-09-18,栾川县某民宿院内,5.0
ITV2023006,DY20210023,141124,OBJ14112401,刘大爷,68岁，临县独居老人，享受社保政策,"生活状况： 刘大爷独居，儿子在外打工，每月寄回500元生活费。""年纪大了，地种不动了，全靠政府发的养老金过日子。""社保待遇： ""每月能领180元养老金，新农合报销比例也提高了。但慢性病吃药花费大，报销后还要花200多。""生活困难： ""最怕生病，去县医院要坐一个多小时车，很不方便。村里年轻人都出去了，有事找不到人帮忙。""政策建议： ""希望提高农村养老金标准，在村里建个养老服务站，有人照顾日常生活。""情感需求： ""物质上还行，就是一个人太孤单，希望村里能组织些活动。""",2023-10-12,临县刘大爷家中,3.0
ITV2023007,DY20210025,513224,OBJ51322401,扎西,42岁，松潘县藏族牧民，从事牦牛养殖,"牧业生产： 扎西家有牦牛80多头，是家庭主要收入来源。""祖祖辈辈都放牦牛，但现在草场退化严重，载畜量有限。""销售渠道： ""牦牛肉品质很好，但只能卖给中间商，价格被压得很低。想直接销往成都，但运输成本太高。""生态保护： ""政府实施草畜平衡政策，要求减少放牧数量，但补偿标准偏低，影响收入。""政策建议： ""希望建立牦牛产品溯源体系，提升品牌价值。同时提高生态补偿标准。""发展意愿： 想发展牧家乐，但缺乏启动资金和经营管理知识。",2023-10-25,松潘县草原牧场上,5.0
ITV2023008,DY20210030,522636,OBJ52263601,陈明华,39岁，岑巩县电商服务站负责人,"创业经历： 陈明华原在广东打工，2019年回乡创办电商服务站。""看到家乡好多优质农产品卖不出去，很心疼。""业务范围： 帮助村民网上销售土鸡蛋、山茶油、中药材等，年销售额约80万元。运营困难： ""农产品标准化程度低，包装物流成本高。村民对电商信任度不够，合作有障碍。""政策支持： ""县商务局给了3万元创业补贴，但后续运营缺乏持续支持。希望有专业的电商培训。""社会效益： 服务站带动周边200多户农户增收，其中脱贫户60多户。",2023-11-08,岑巩县电商服务中心,4.0
ITV2023009,DY20210003,150928,OBJ15092801,巴特尔,50岁，察哈尔右翼后旗马铃薯种植大户,"种植规模： 巴特尔种植马铃薯300亩，是当地重要的种薯供应商。""我们这里气候适合种马铃薯，品质很好。""技术需求： ""最大的问题是品种退化，需要经常更新种薯。自己搞育种投入太大，希望科研院所提供技术支持。""市场风险： ""马铃薯价格波动太大，去年丰收但价格低，亏了十几万。需要建立价格保险机制。""基础设施： ""仓储设施不足，收获后只能尽快出售，没有议价能力。希望政府支持建设保鲜库。""发展计划： 想发展马铃薯深加工，生产淀粉和薯条，延长产业链。",2023-11-20,察哈尔右翼后旗农场,5.0
ITV2023010,DY20210008,532531,OBJ53253101,李秀梅,44岁，绿春县茶叶种植户，哈尼族,"茶叶产业： 李秀梅家有茶园20亩，主要种植普洱茶。""我们哈尼族世代种茶，但以前都是粗放管理，品质不稳定。""技术提升： ""参加了县里的茶叶技术培训，学会了生态种植，现在茶叶品质提高了，价格也上去了。""品牌建设： ""绿春茶叶知名度不高，好茶卖不出好价钱。希望政府帮忙打造区域公共品牌。""销售渠道： 主要通过茶商收购，价格受制于人。""想自己做直播卖货，但不懂怎么操作。""文化传承： 哈尼族茶文化深厚，想发展茶文化旅游，但缺乏规划指导。",2023-12-05,绿春县茶园,4.0
