调研员ID,姓名,性别,所属院系,学历,专业方向,联系电话,电子邮箱,所属分队ID,负责县域ID,调研角色,参与调研批次,调研开始时间,调研结束时间,已完成访谈次数,待补访次数,调研专长,培训完成状态,设备领用状态,备注
DY20210001,张明,男,应用经济学院,硕士,应用经济学,13800138001,zhangming@ruc.edu.cn,FD202101,340824,分队负责人,2021年夏季批次,2021-07-01,2021-08-15,35.0,2.0,产业扶贫调研、数据分析,是,已归还,有3年县域经济调研经验
DY20210002,李娜,女,新闻学院,本科,新闻学,13800138002,lina@ruc.edu.cn,FD202101,410526,访谈员,2021年夏季批次,2021-07-01,2021-08-15,28.0,3.0,口述史记录、访谈引导,是,已归还,擅长沟通，亲和力强
DY20210003,王浩,男,应用经济学院,博士,区域经济学,13800138003,wanghao@ruc.edu.cn,FD202102,150928,数据分析员,2021年秋季批次,2021-09-01,2021-10-20,22.0,1.0,量化分析、政策研究,是,已归还,发表多篇脱贫攻坚相关论文
DY20210004,刘敏,女,新闻学院,硕士,广播电视学,13800138004,liumin@ruc.edu.cn,FD202102,610829,记录员,2021年秋季批次,2021-09-01,2021-10-20,25.0,0.0,文字整理、视频剪辑,是,已归还,熟练使用录音转文字工具
DY20210005,陈阳,男,社会与人口学院,本科,社会学,13800138005,chenyang@ruc.edu.cn,FD202103,130623,访谈员,2022年春季批次,2022-03-10,2022-04-25,30.0,4.0,农村社会调研、民俗研究,是,已领用,来自原贫困县，熟悉当地情况
DY20210006,赵雪,女,应用经济学院,本科,国民经济学,13800138006,zhaoxue@ruc.edu.cn,FD202103,411327,记录员,2022年春季批次,2022-03-10,2022-04-25,26.0,1.0,数据整理、报表制作,是,已领用,熟练使用Excel和SQL
DY20210007,孙强,男,新闻学院,硕士,新闻传播学,13800138007,sunqiang@ruc.edu.cn,FD202104,532932,分队负责人,2022年夏季批次,2022-06-15,2022-08-05,32.0,2.0,深度访谈、专题报道,是,已归还,曾参与国家级调研项目
DY20210008,周婷,女,应用经济学院,博士,产业经济学,13800138008,zhouting@ruc.edu.cn,FD202104,532531,数据分析员,2022年夏季批次,2022-06-15,2022-08-05,24.0,0.0,产业经济分析、投入产出,是,已归还,专注扶贫产业成效研究
DY20210009,吴磊,男,新闻学院,本科,广告学,13800138009,wulei@ruc.edu.cn,FD202105,340827,访谈员,2021年冬季批次,2021-11-20,2022-01-10,18.0,3.0,访谈策划、创意引导,是,已归还,擅长打破访谈僵局
DY20210010,郑佳,女,应用经济学院,硕士,财政学,13800138010,zhengjia@ruc.edu.cn,FD202105,513333,记录员,2021年冬季批次,2021-11-20,2022-01-10,20.0,1.0,财政数据整理、政策解读,是,已归还,熟悉扶贫财政补贴政策
DY20210011,马伟,男,社会与人口学院,硕士,人口学,13800138011,mawei@ruc.edu.cn,FD202106,140927,数据分析员,2022年秋季批次,2022-09-12,2022-11-01,23.0,0.0,人口统计、脱贫监测,是,已领用,熟练使用SPSS和Python
DY20210012,朱琳,女,新闻学院,本科,网络与新媒体,13800138012,zhulin@ruc.edu.cn,FD202106,230221,访谈员,2022年秋季批次,2022-09-12,2022-11-01,27.0,2.0,新媒体记录、直播访谈,是,已领用,擅长短视频形式记录调研
DY20210013,胡明,男,应用经济学院,本科,国际贸易学,13800138013,huming@ruc.edu.cn,FD202107,410526,记录员,2021年夏季批次,2021-07-05,2021-08-20,21.0,1.0,数据录入、文档归档,是,已归还,做事细致，零数据错误率
DY20210014,林芳,女,新闻学院,博士,传播学,13800138014,linfang@ruc.edu.cn,FD202107,522726,分队负责人,2021年夏季批次,2021-07-05,2021-08-20,33.0,2.0,调研项目管理、质量把控,是,已归还,有5年调研管理经验
DY20210015,高洋,男,应用经济学院,硕士,金融硕士,13800138015,gaoyang@ruc.edu.cn,FD202108,411722,数据分析员,2022年春季批次,2022-03-15,2022-05-01,25.0,0.0,金融扶贫分析、信贷研究,是,已归还,曾在银行扶贫信贷部门实习
DY20210016,田甜,女,新闻学院,本科,编辑出版学,13800138016,tiantian@ruc.edu.cn,FD202108,522323,访谈员,2022年春季批次,2022-03-15,2022-05-01,29.0,3.0,图书编辑、资料整理,是,已领用,擅长访谈资料结构化梳理
DY20210017,罗斌,男,社会与人口学院,本科,社会工作,13800138017,luobin@ruc.edu.cn,FD202109,632524,记录员,2021年秋季批次,2021-09-05,2021-10-25,19.0,2.0,社会工作、贫困帮扶,是,已归还,有基层扶贫工作经历
DY20210018,梁燕,女,应用经济学院,本科,经济统计学,13800138018,liangyan@ruc.edu.cn,FD202109,152634,数据分析员,2021年秋季批次,2021-09-05,2021-10-25,22.0,0.0,统计建模、数据可视化,是,已归还,熟练使用Tableau
DY20210019,谢辉,男,新闻学院,硕士,新闻史,13800138019,xiehui@ruc.edu.cn,FD202110,340827,分队负责人,2022年夏季批次,2022-06-20,2022-08-10,31.0,1.0,口述史研究、历史记录,是,已归还,专注脱贫攻坚历史研究
DY20210020,宋佳,女,应用经济学院,硕士,政治经济学,13800138020,songjia@ruc.edu.cn,FD202110,410324,访谈员,2022年夏季批次,2022-06-20,2022-08-10,27.0,2.0,政策分析、访谈提纲设计,是,已归还,参与设计多项调研提纲
DY20210021,黄涛,男,新闻学院,本科,数字媒体艺术,13800138021,huangtao@ruc.edu.cn,FD202111,621022,记录员,2022年冬季批次,2022-11-25,2023-01-15,17.0,3.0,多媒体制作、动画设计,是,已领用,擅长制作调研宣传动画
DY20210022,吴丹,女,应用经济学院,博士,发展经济学,13800138022,wudan@ruc.edu.cn,FD202111,430923,数据分析员,2022年冬季批次,2022-11-25,2023-01-15,24.0,0.0,发展经济学研究、减贫分析,是,已领用,师从知名减贫研究专家
DY20210023,冯宇,男,社会与人口学院,硕士,社会保障,13800138023,fengyu@ruc.edu.cn,FD202112,141124,访谈员,2021年春季批次,2021-04-10,2021-05-25,23.0,1.0,社会保障、民生调研,是,已归还,熟悉贫困县社保政策
DY20210024,程琳,女,新闻学院,本科,新闻学,13800138024,chenglin@ruc.edu.cn,FD202112,230623,记录员,2021年春季批次,2021-04-10,2021-05-25,20.0,2.0,文字记录、新闻写作,是,已归还,曾在报社实习，文字功底扎实
DY20210025,韩松,男,应用经济学院,本科,能源经济学,13800138025,hansong@ruc.edu.cn,FD202113,513224,数据分析员,2022年秋季批次,2022-09-18,2022-11-08,26.0,0.0,能源扶贫、光伏产业分析,是,已归还,专注新能源扶贫研究
DY20210026,沈悦,女,新闻学院,硕士,广播电视学,13800138026,shenyue@ruc.edu.cn,FD202113,152630,分队负责人,2022年秋季批次,2022-09-18,2022-11-08,30.0,1.0,广电新闻、视频访谈,是,已归还,曾制作脱贫攻坚专题纪录片
DY20210027,钟亮,男,应用经济学院,博士,农业经济学,13800138027,zhongliang@ruc.edu.cn,FD202114,140429,访谈员,2021年夏季批次,2021-07-10,2021-08-25,28.0,2.0,农业扶贫、乡村振兴,是,已归还,有农村调研实地经验
DY20210028,姜雪,女,新闻学院,本科,广告学,13800138028,jiangxue@ruc.edu.cn,FD202114,632625,记录员,2021年夏季批次,2021-07-10,2021-08-25,24.0,1.0,广告策划、调研推广,是,已归还,擅长调研成果宣传推广
DY20210029,崔健,男,社会与人口学院,本科,社会学,13800138029,cuijian@ruc.edu.cn,FD202115,632723,数据分析员,2022年春季批次,2022-03-20,2022-05-08,22.0,0.0,社会调研、数据分析,是,已领用,熟练使用R语言
DY20210030,潘婷,女,应用经济学院,硕士,应用经济学,13800138030,panting@ruc.edu.cn,FD202115,522636,访谈员,2022年春季批次,2022-03-20,2022-05-08,29.0,2.0,经济调研、政策解读,是,已领用,曾参与地方扶贫政策评估
